"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"+1 Agility gain/stolen per Essence Shift Stack","","","","","","","","","","","","",""
"+1 Arcane Bolt Per Cast","","","","","","","","","","","","",""
"+1 Armor Corruption to Visage and Familiars","","","","","","","","","","","","",""
"+1 Bonus Armor per Culling Blade Stack","","","","","","","","","","","","",""
"+1 Death Pact Charge","","","","","","","","","","","","",""
"+1 Divided We Stand Clone","","","","","","","","","","","","",""
"+1 Doppelganger Illusion","","","","","","","","","","","","",""
"+1 Familiar","","","","","","","","","","","","",""
"+1 Geminate Attack","","","","","","","","","","","","",""
"+1 Heat-Seeking Missile Count","","","","","","","","","","","","",""
"+1 Heavenly Jump Target","","","","","","","","","","","","",""
"+1 Mana Regen","","","","","","","","","","","","",""
"+1 Mirror Image Illusion","","","","","","","","","","","","",""
"+1 Multishot Wave","","","","","","","","","","","","",""
"+1 Searing Chains Target","","","","","","","","","","","","",""
"+1 Serpent Wards Max HP","","","","","","","","","","","","",""
"+1 Spirit Lance Multishot","","","","","","","","","","","","",""
"+1 Swashbuckle Strike","","","","","","","","","","","","",""
"+1% Max Mana Mana Burn","","","","","","","","","","","","",""
"+1.0s Decrepify Duration","","","","","","","","","","","","",""
"+1.0s Shackles Duration","","","","","","","","","","","","",""
"+1.0s Storm Hammer Stun Duration","","","","","","","","","","","","",""
"+1.0s Waning Rift Silence Duration","","","","","","","","","","","","",""
"+1.0s Wraithfire Blast Stun Duration","","","","","","","","","","","","",""
"+1.2% Feast Lifesteal and Damage","","","","","","","","","","","","",""
"+1.25 Mana Regen","","","","","","","","","","","","",""
"+1.25s Frostbite Duration","","","","","","","","","","","","",""
"+1.25s Tornado Lift Time","","","","","","","","","","","","",""
"+1.25s Winter's Curse Duration","","","","","","","","","","","","",""
"+1.2s Wraithfire Blast Slow Duration","","","","","","","","","","","","",""
"+1.5 Mana Regen","","","","","","","","","","","","",""
"+1.5% Max Health Sun Ray Damage","","","","","","","","","","","","",""
"+1.5% Noxious Plague Max HP Damage","","","","","","","","","","","","",""
"+1.5s False Promise Duration","","","","","","","","","","","","",""
"+1.5s Flux Duration","","","","","","","","","","","","",""
"+1.5s Rage Duration","","","","","","","","","","","","",""
"+1.5s Shadow Realm Duration","","","","","","","","","","","","",""
"+1.5s Solar Bind Stun when target is fully slowed","","","","","","","","","","","","",""
"+1.5s Static Storm Duration","","","","","","","","","","","","",""
"+1.5s Stone Gaze Duration","","","","","","","","","","","","",""
"+1.7 Mana Shield Damage per Mana","","","","","","","","","","","","",""
"+1.75 Mana Regen","","","","","","","","","","","","",""
"+1.75 Nether Ward Damage Per Mana","","","","","","","","","","","","",""
"+10 Agility","","","","","","","","","","","","",""
"+10 All Stats","","","","","","","","","","","","",""
"+10 All Stats per hero hit with Reverse Polarity","","","","","","","","","","","","",""
"+10 Arcane Curse Damage","","","","","","","","","","","","",""
"+10 Armor","","","","","","","","","","","","",""
"+10 Armor False Promise","","","","","","","","","","","","",""
"+10 Attack Speed","","","","","","","","","","","","",""
"+10 Berserker's Call Armor","","","","","","","","","","","","",""
"+10 Berserker's Rage Armor","","","","","","","","","","","","",""
"+10 Brewlings Damage","","","","","","","","","","","","",""
"+10 Damage","","","","","","","","","","","","",""
"+10 Eidolon Attack Speed","","","","","","","","","","","","",""
"+10 Enchanted Creep Armor","","","","","","","","","","","","",""
"+10 Fury Swipes Damage","","","","","","","","","","","","",""
"+10 Health Regen","","","","","","","","","","","","",""
"+10 Hex Damage Amplification","","","","","","","","","","","","",""
"+10 Inner Beast Attack Speed","","","","","","","","","","","","",""
"+10 Intelligence","","","","","","","","","","","","",""
"+10 Mana Regen","","","","","","","","","","","","",""
"+10 Movement Speed","","","","","","","","","","","","",""
"+10 Phantom Rush Agility","","","","","","","","","","","","",""
"+10 Shadow Strike Heal Per Tick","","","","","","","","","","","","",""
"+10 Soul Rip Damage/Heal","","","","","","","","","","","","",""
"+10 Sticky Napalm Damage","","","","","","","","","","","","",""
"+10 Strength","","","","","","","","","","","","",""
"+10 Thunder Strike Damage per Strike","","","","","","","","","","","","",""
"+10 Upheaval Attack Speed per second on Allies","","","","","","","","","","","","",""
"+10 Warcry Armor","","","","","","","","","","","","",""
"+10 Wolves Damage","","","","","","","","","","","","",""
"+10% Ancient Seal Increased Magic Damage","","","","","","","","","","","","",""
"+10% Blade Dance Crit Damage","","","","","","","","","","","","",""
"+10% Bloodrage Spell Amplification","","","","","","","","","","","","",""
"+10% Chaos Strike Chance","","","","","","","","","","","","",""
"+10% Conjure Image Damage","","","","","","","","","","","","",""
"+10% Decrepify Movement Speed To Allies","","","","","","","","","","","","",""
"+10% Empower Damage/Cleave","","","","","","","","","","","","",""
"+10% Evasion","","","","","","","","","","","","",""
"+10% Frost Shield Damage Reduction","","","","","","","","","","","","",""
"+10% Gush Slow","","","","","","","","","","","","",""
"+10% Juxtapose Damage","","","","","","","","","","","","",""
"+10% Lifesteal","","","","","","","","","","","","",""
"+10% Magic Resistance","","","","","","","","","","","","",""
"+10% Mana Drain Slow","","","","","","","","","","","","",""
"+10% Mana Regen Amp","","","","","","","","","","","","",""
"+10% Mirror Image Damage","","","","","","","","","","","","",""
"+10% Movement Speed","","","","","","","","","","","","",""
"+10% Movement Speed during Pulse Nova","","","","","","","","","","","","",""
"+10% Rebound Movement Speed Bonus","","","","","","","","","","","","",""
"+10% Reflection Slow/Damage","","","","","","","","","","","","",""
"+10% Sidekick Lifesteal","","","","","","","","","","","","",""
"+10% Slithereen Crush Attack/Move Slow","","","","","","","","","","","","",""
"+10% Spell Amplification","","","","","","","","","","","","",""
"+10% Spell Lifesteal","","","","","","","","","","","","",""
"+10% Status Resistance","","","","","","","","","","","","",""
"+10% Vampiric Spirit Lifesteal","","","","","","","","","","","","",""
"+10% XP Gain","","","","","","","","","","","","",""
"+10/1% Fiery Soul Per Stack","","","","","","","","","","","","",""
"+100 Agility","","","","","","","","","","","","",""
"+100 Aphotic Shield Barrier Amount","","","","","","","","","","","","",""
"+100 Astral Imprisonment Cast Range","","","","","","","","","","","","",""
"+100 Attack Range","","","","","","","","","","","","",""
"+100 Attack Speed","","","","","","","","","","","","",""
"+100 Base Damage","","","","","","","","","","","","",""
"+100 Berserker's Call AoE","","","","","","","","","","","","",""
"+100 Blade Fury Radius","","","","","","","","","","","","",""
"+100 Boulder Smash Damage","","","","","","","","","","","","",""
"+100 Cast Range","","","","","","","","","","","","",""
"+100 Damage","","","","","","","","","","","","",""
"+100 God's Rebuke Distance","","","","","","","","","","","","",""
"+100 Gush Damage","","","","","","","","","","","","",""
"+100 Health","","","","","","","","","","","","",""
"+100 Hunter In The Night Attack Speed","","","","","","","","","","","","",""
"+100 Lightning Storm Damage","","","","","","","","","","","","",""
"+100 Lucent Beam Damage","","","","","","","","","","","","",""
"+100 Mana","","","","","","","","","","","","",""
"+100 Movement Speed","","","","","","","","","","","","",""
"+100 Natural Order Radius","","","","","","","","","","","","",""
"+100 Reaper's Scythe Cast Range","","","","","","","","","","","","",""
"+100 Rebound Cast/Jump Range","","","","","","","","","","","","",""
"+100 Scream of Pain Damage","","","","","","","","","","","","",""
"+100 Spear Of Mars Damage","","","","","","","","","","","","",""
"+100 Splinter Blast Damage","","","","","","","","","","","","",""
"+100 Thunder Strike Radius","","","","","","","","","","","","",""
"+100 Torrent Damage","","","","","","","","","","","","",""
"+100 Vacuum AoE","","","","","","","","","","","","",""
"+100 Vengeance Aura Attack Range","","","","","","","","","","","","",""
"+100% Cleave","","","","","","","","","","","","",""
"+100% Dual Breath Damage and Range","","","","","","","","","","","","",""
"+100% Lifesteal","","","","","","","","","","","","",""
"+100% Magic Resistance","","","","","","","","","","","","",""
"+100% Mana Drain Damage","","","","","","","","","","","","",""
"+100/25 Base/Incremental Radius of Epicenter","","","","","","","","","","","","",""
"+1000 Health","","","","","","","","","","","","",""
"+1000 Icarus Dive Cast Range","","","","","","","","","","","","",""
"+1000 Mana","","","","","","","","","","","","",""
"+1000 Night Vision","","","","","","","","","","","","",""
"+1000 Stroke of Fate Cast Range","","","","","","","","","","","","",""
"+1000 True Form and Spirit Bear Health","","","","","","","","","","","","",""
"+10s Conjure Image Duration","","","","","","","","","","","","",""
"+10s Empower Duration","","","","","","","","","","","","",""
"+10s Phantasm Duration","","","","","","","","","","","","",""
"+10s Tempest Double Duration","","","","","","","","","","","","",""
"+11 Strength","","","","","","","","","","","","",""
"+11% Manacost/Manaloss Reduction","","","","","","","","","","","","",""
"+11% Spell Amplification","","","","","","","","","","","","",""
"+110 Attack Speed","","","","","","","","","","","","",""
"+110 Jingu Mastery Damage","","","","","","","","","","","","",""
"+110 Psionic Trap Damage","","","","","","","","","","","","",""
"+110 Rolling Boulder Damage","","","","","","","","","","","","",""
"+1125 Timber Chain Range","","","","","","","","","","","","",""
"+115 Shadowraze Damage","","","","","","","","","","","","",""
"+12 Agility","","","","","","","","","","","","",""
"+12 All Stats","","","","","","","","","","","","",""
"+12 Armor","","","","","","","","","","","","",""
"+12 Damage","","","","","","","","","","","","",""
"+12 Desolate Damage","","","","","","","","","","","","",""
"+12 Dragon Blood HP Regen/Armor","","","","","","","","","","","","",""
"+12 Health Regen","","","","","","","","","","","","",""
"+12 Holy Persuasion Damage","","","","","","","","","","","","",""
"+12 Intelligence","","","","","","","","","","","","",""
"+12 Liquid Fire Damage","","","","","","","","","","","","",""
"+12 Strength","","","","","","","","","","","","",""
"+12% Battle Hunger Slow","","","","","","","","","","","","",""
"+12% Caustic Finale Slow","","","","","","","","","","","","",""
"+12% Evasion","","","","","","","","","","","","",""
"+12% Ink Swell Movement Speed","","","","","","","","","","","","",""
"+12% Lifesteal","","","","","","","","","","","","",""
"+12% Magic Resistance","","","","","","","","","","","","",""
"+12% Marksmanship Chance","","","","","","","","","","","","",""
"+12% Movement Speed per active Battle Hunger","","","","","","","","","","","","",""
"+12% Rage Movement Speed","","","","","","","","","","","","",""
"+12% Spectral Dagger Slow/Bonus","","","","","","","","","","","","",""
"+12% Spell Amplification","","","","","","","","","","","","",""
"+12% Spell Lifesteal","","","","","","","","","","","","",""
"+12% Time Dilation Slow per Cooldown","","","","","","","","","","","","",""
"+12%/+6% Bulwark Front/Side damage reduction","","","","","","","","","","","","",""
"+120 Attack Speed","","","","","","","","","","","","",""
"+120 Blood Rite Damage","","","","","","","","","","","","",""
"+120 Caustic Finale Damage","","","","","","","","","","","","",""
"+120 Damage","","","","","","","","","","","","",""
"+120 Gold/Min","","","","","","","","","","","","",""
"+120 Psi Blades Attack and Spill Range","","","","","","","","","","","","",""
"+120 Snowball Damage","","","","","","","","","","","","",""
"+1200 Brewlings Health","","","","","","","","","","","","",""
"+1200 Holy Persuasion Minimum Health","","","","","","","","","","","","",""
"+125 Attack Range","","","","","","","","","","","","",""
"+125 Cast Range","","","","","","","","","","","","",""
"+125 Crystal Nova AoE","","","","","","","","","","","","",""
"+125 Defense Matrix Damage Absorbed","","","","","","","","","","","","",""
"+125 Enfeeble Attack Speed Reduction","","","","","","","","","","","","",""
"+125 Frost Blast Radius and Damage","","","","","","","","","","","","",""
"+125 Frostbite Cast Range","","","","","","","","","","","","",""
"+125 Health","","","","","","","","","","","","",""
"+125 Leap Distance","","","","","","","","","","","","",""
"+125 Magic Missile Cast Range","","","","","","","","","","","","",""
"+125 Mana","","","","","","","","","","","","",""
"+125 Sharpshooter Max Damage","","","","","","","","","","","","",""
"+125 Shield Crash Radius","","","","","","","","","","","","",""
"+125 Shockwave Damage","","","","","","","","","","","","",""
"+125 Slithereen Crush Damage","","","","","","","","","","","","",""
"+125 Sticky Bomb Latch/Explosion Radius","","","","","","","","","","","","",""
"+125 Take Aim Range","","","","","","","","","","","","",""
"+125 Unstable Concoction Radius","","","","","","","","","","","","",""
"+1250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '1250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl25_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","",""
"+1250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '1250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl25_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","",""
"+13 Agility","","","","","","","","","","","","",""
"+13 Enfeeble Damage Per Second","","","","","","","","","","","","",""
"+13 Intelligence","","","","","","","","","","","","",""
"+13 Strength","","","","","","","","","","","","",""
"+13% Spell Lifesteal","","","","","","","","","","","","",""
"+130 Impale Damage","","","","","","","","","","","","",""
"+130% Cleave","","","","","","","","","","","","",""
"+135 Bushwhack Radius","","","","","","","","","","","","",""
"+14 Agility","","","","","","","","","","","","",""
"+14 All Stats","","","","","","","","","","","","",""
"+14 Firestorm Wave Damage","","","","","","","","","","","","",""
"+14 Health Regen","","","","","","","","","","","","",""
"+14 Intelligence","","","","","","","","","","","","",""
"+14 Mana Regen","","","","","","","","","","","","",""
"+14 Rocket Barrage Damage","","","","","","","","","","","","",""
"+14 Strength","","","","","","","","","","","","",""
"+14% Magic Resistance","","","","","","","","","","","","",""
"+14% Spell Amplification","","","","","","","","","","","","",""
"+140 Attack Speed","","","","","","","","","","","","",""
"+140 Chronosphere AoE","","","","","","","","","","","","",""
"+140 Meat Hook Damage","","","","","","","","","","","","",""
"+140 Serpent Wards Attack Range","","","","","","","","","","","","",""
"+140% Cleave","","","","","","","","","","","","",""
"+15 Agility","","","","","","","","","","","","",""
"+15 All Stats","","","","","","","","","","","","",""
"+15 Armor","","","","","","","","","","","","",""
"+15 Attack Damage to Tethered Units","","","","","","","","","","","","",""
"+15 Attack Speed","","","","","","","","","","","","",""
"+15 Base Damage","","","","","","","","","","","","",""
"+15 Damage","","","","","","","","","","","","",""
"+15 Frost Arrow Damage","","","","","","","","","","","","",""
"+15 Health Regen","","","","","","","","","","","","",""
"+15 Ignite DPS","","","","","","","","","","","","",""
"+15 Intelligence","","","","","","","","","","","","",""
"+15 Mana Break","","","","","","","","","","","","",""
"+15 Movement Speed","","","","","","","","","","","","",""
"+15 Sand Storm Damage Per Second","","","","","","","","","","","","",""
"+15 Scorched Earth Damage","","","","","","","","","","","","",""
"+15 Strength","","","","","","","","","","","","",""
"+15 Swashbuckle Damage","","","","","","","","","","","","",""
"+15 Tar Bomb Bonus Attack Damage","","","","","","","","","","","","",""
"+15% Atrophy Aura Attack Damage Reduction","","","","","","","","","","","","",""
"+15% Celestial Hammer Slow","","","","","","","","","","","","",""
"+15% Cleave","","","","","","","","","","","","",""
"+15% Corrosive Skin Magic Resistance","","","","","","","","","","","","",""
"+15% Disseminate Shared Damage","","","","","","","","","","","","",""
"+15% Evasion","","","","","","","","","","","","",""
"+15% Ghost Shroud Self Restoration Amp","","","","","","","","","","","","",""
"+15% Ghoul Frenzy Slow","","","","","","","","","","","","",""
"+15% Gust Self Movement Speed","","","","","","","","","","","","",""
"+15% Infest Target Movespeed/Health","","","","","","","","","","","","",""
"+15% Lifesteal","","","","","","","","","","","","",""
"+15% Magic Resistance","","","","","","","","","","","","",""
"+15% Mystic Snake Turn and Movement Speed Slow","","","","","","","","","","","","",""
"+15% Shadow Poison Damage","","","","","","","","","","","","",""
"+15% Spell Amplification","","","","","","","","","","","","",""
"+15% Spell Lifesteal","","","","","","","","","","","","",""
"+15% Status Resistance","","","","","","","","","","","","",""
"+15% Tether Enemy Move/Attack Slow","","","","","","","","","","","","",""
"+15% Unleash Movement Speed","","","","","","","","","","","","",""
"+15% XP Gain","","","","","","","","","","","","",""
"+150 Attack Range","","","","","","","","","","","","",""
"+150 Blink Cast Range","","","","","","","","","","","","",""
"+150 Cast Range","","","","","","","","","","","","",""
"+150 Culling Blade Damage","","","","","","","","","","","","",""
"+150 Damage","","","","","","","","","","","","",""
"+150 Eidolon Health","","","","","","","","","","","","",""
"+150 Elder Dragon Form Attack Range","","","","","","","","","","","","",""
"+150 Gold/Min","","","","","","","","","","","","",""
"+150 Healing Ward Radius","","","","","","","","","","","","",""
"+150 Health","","","","","","","","","","","","",""
"+150 Infest Damage","","","","","","","","","","","","",""
"+150 Ink Swell Radius","","","","","","","","","","","","",""
"+150 Light Strike Array Damage","","","","","","","","","","","","",""
"+150 Mana","","","","","","","","","","","","",""
"+150 Mana Void Radius","","","","","","","","","","","","",""
"+150 Overwhelming Odds Radius","","","","","","","","","","","","",""
"+150 Shadow Wave Cast Range","","","","","","","","","","","","",""
"+150 Solar Guardian Radius","","","","","","","","","","","","",""
"+150 Spiderlings Health","","","","","","","","","","","","",""
"+150 Telekinesis Landing Damage","","","","","","","","","","","","",""
"+150 Thundergod's Wrath Flat Damage","","","","","","","","","","","","",""
"+150 Will-O-Wisp AoE","","","","","","","","","","","","",""
"+150% Cleave","","","","","","","","","","","","",""
"+150% Crit On Targets Affected By Dragon Slave","","","","","","","","","","","","",""
"+150.0 Attack Range when Overloaded","","","","","","","","","","","","",""
"+150.0 Rebound Damage","","","","","","","","","","","","",""
"+15s Ion Shell Duration","","","","","","","","","","","","",""
"+15s Plague Ward Duration","","","","","","","","","","","","",""
"+15s Spirit Form Duration","","","","","","","","","","","","",""
"+16 Agility","","","","","","","","","","","","",""
"+16 Damage","","","","","","","","","","","","",""
"+16 Health Regen","","","","","","","","","","","","",""
"+16 Intelligence","","","","","","","","","","","","",""
"+16 Strength","","","","","","","","","","","","",""
"+16% Evasion","","","","","","","","","","","","",""
"+16% Spell Amplification","","","","","","","","","","","","",""
"+16% Vengeance Aura Base Damage Bonus","","","","","","","","","","","","",""
"+160 Attack Speed","","","","","","","","","","","","",""
"+160 Cursed Crown AoE","","","","","","","","","","","","",""
"+160 Damage","","","","","","","","","","","","",""
"+160 Nether Blast Damage","","","","","","","","","","","","",""
"+160 Purification Damage/Heal","","","","","","","","","","","","",""
"+160.0 Rebound Ally Shield Absorb","","","","","","","","","","","","",""
"+16s Morph Duration","","","","","","","","","","","","",""
"+17% Arctic Burn Slow","","","","","","","","","","","","",""
"+17% Greater Bash Chance","","","","","","","","","","","","",""
"+170 Shackles Total Damage","","","","","","","","","","","","",""
"+175 Attack Range","","","","","","","","","","","","",""
"+175 Attack Speed","","","","","","","","","","","","",""
"+175 Cast Range","","","","","","","","","","","","",""
"+175 Flux Cast Range","","","","","","","","","","","","",""
"+175 Health","","","","","","","","","","","","",""
"+175 Initial/Break Dream Coil Damage","","","","","","","","","","","","",""
"+175 Mana","","","","","","","","","","","","",""
"+175% Cleave","","","","","","","","","","","","",""
"+18 Corrosive Skin Damage Per Second","","","","","","","","","","","","",""
"+18 Damage","","","","","","","","","","","","",""
"+18 Shadow Word Heal/Damage","","","","","","","","","","","","",""
"+18 Strength","","","","","","","","","","","","",""
"+18 Warpath Damage Per Stack","","","","","","","","","","","","",""
"+18% Leech Seed Movement Slow","","","","","","","","","","","","",""
"+18% Lifesteal","","","","","","","","","","","","",""
"+18% Max Thirst MS","","","","","","","","","","","","",""
"+18% Spell Amplification","","","","","","","","","","","","",""
"+180 Gold/Min","","","","","","","","","","","","",""
"+1s Mana Void Stun","","","","","","","","","","","","",""
"+1s Omnislash Duration","","","","","","","","","","","","",""
"+1s Searing Chains Duration","","","","","","","","","","","","",""
"+1s Shadow Dance Duration","","","","","","","","","","","","",""
"+1s Stampede Duration","","","","","","","","","","","","",""
"+1s Take Aim Duration","","","","","","","","","","","","",""
"+1s Thunder Clap Slow","","","","","","","","","","","","",""
"+1s Wall of Replica Slow","","","","","","","","","","","","",""
"+1s Wall of Replica Stun","","","","","","","","","","","","",""
"+1x Brewed Up multiplier for Drunken Brawler","","","","","","","","","","","","",""
"+2 Acorn Shot Bounces","","","","","","","","","","","","",""
"+2 Armor","","","","","","","","","","","","",""
"+2 Bedlam Attack Targets","","","","","","","","","","","","",""
"+2 Cask Bounces","","","","","","","","","","","","",""
"+2 Chaos Meteors","","","","","","","","","","","","",""
"+2 Damage per Greevil's Greed stack","","","","","","","","","","","","",""
"+2 Fatal Bond Targets","","","","","","","","","","","","",""
"+2 Firestorm Wave Count","","","","","","","","","","","","",""
"+2 Healing Ward Hits to Kill","","","","","","","","","","","","",""
"+2 Howl Armor Reduction","","","","","","","","","","","","",""
"+2 Lil' Shredder attacks","","","","","","","","","","","","",""
"+2 Living Armor Block Instances","","","","","","","","","","","","",""
"+2 Living Armor Heal Per Second","","","","","","","","","","","","",""
"+2 Mana Drain Multi Target","","","","","","","","","","","","",""
"+2 Mana Regen","","","","","","","","","","","","",""
"+2 Multishot Sacred Arrows","","","","","","","","","","","","",""
"+2 Power Cogs Hit To Kill","","","","","","","","","","","","",""
"+2 Shackleshot Target","","","","","","","","","","","","",""
"+2 Swarm Attacks to Kill","","","","","","","","","","","","",""
"+2 Will-O-Wisp Flicker","","","","","","","","","","","","",""
"+2 Wolves Summoned","","","","","","","","","","","","",""
"+2% Arcane Orb Damage","","","","","","","","","","","","",""
"+2% Astral Spirit Move Speed Per Hero","","","","","","","","","","","","",""
"+2% Infernal Blade Max HP As Damage","","","","","","","","","","","","",""
"+2% Max Health Voodoo Restoration Heal","","","","","","","","","","","","",""
"+2.5 Mana Regen","","","","","","","","","","","","",""
"+2.5% Wild Axes Damage Amp Per Stack","","","","","","","","","","","","",""
"+2.5s Phantom Rush Bonus Agility Duration","","","","","","","","","","","","",""
"+2/0.01 Dumb Luck Mana/Mana Regen Per Strength","","","","","","","","","","","","",""
"+20 Agility","","","","","","","","","","","","",""
"+20 All Stats","","","","","","","","","","","","",""
"+20 Armor","","","","","","","","","","","","",""
"+20 Attack Speed","","","","","","","","","","","","",""
"+20 Base Damage","","","","","","","","","","","","",""
"+20 Chaotic Offering Golems Armor","","","","","","","","","","","","",""
"+20 Damage","","","","","","","","","","","","",""
"+20 Finger of Death Damage Per Kill","","","","","","","","","","","","",""
"+20 Fire Spirits Damage Per Second","","","","","","","","","","","","",""
"+20 Health Regen","","","","","","","","","","","","",""
"+20 Icarus Dive Damage Per Second","","","","","","","","","","","","",""
"+20 Intelligence","","","","","","","","","","","","",""
"+20 Lunar Blessing Damage","","","","","","","","","","","","",""
"+20 Magnetic Field Attack Speed/Bonus Damage","","","","","","","","","","","","",""
"+20 Mana Break","","","","","","","","","","","","",""
"+20 Movement Speed","","","","","","","","","","","","",""
"+20 Movespeed Aura to Beastmaster and his units","","","","","","","","","","","","",""
"+20 Nature's Attendants Heal","","","","","","","","","","","","",""
"+20 Quill Stack Damage","","","","","","","","","","","","",""
"+20 Starbreaker Swipe/Smash Damage","","","","","","","","","","","","",""
"+20 Strength","","","","","","","","","","","","",""
"+20 Tombstone Zombie Damage","","","","","","","","","","","","",""
"+20 Visage and Familiars Movement Speed","","","","","","","","","","","","",""
"+20 Windrun HP Regen","","","","","","","","","","","","",""
"+20% 1.5s Bash","","","","","","","","","","","","",""
"+20% Backtrack","","","","","","","","","","","","",""
"+20% Battle Trance Movement Speed","","","","","","","","","","","","",""
"+20% Cleave","","","","","","","","","","","","",""
"+20% Counterspell Magic Resistance","","","","","","","","","","","","",""
"+20% Critical Strike (150%)","","","","","","","","","","","","",""
"+20% Critical Strike (200%)","","","","","","","","","","","","",""
"+20% Damage Reduction during Pulse Nova","","","","","","","","","","","","",""
"+20% E.M.P. Mana Burnt","","","","","","","","","","","","",""
"+20% Enfeeble Cast Range Reduction","","","","","","","","","","","","",""
"+20% Enrage Status Resistance","","","","","","","","","","","","",""
"+20% Evasion","","","","","","","","","","","","",""
"+20% Ghost Shroud Movement Slow","","","","","","","","","","","","",""
"+20% God's Strength Slow Resistance","","","","","","","","","","","","",""
"+20% Gunslinger chance","","","","","","","","","","","","",""
"+20% Howl Attack Damage Reduction","","","","","","","","","","","","",""
"+20% Life Break Damage","","","","","","","","","","","","",""
"+20% Life Drain Heal","","","","","","","","","","","","",""
