"id","dname","hint","img","qual","cost","notes","attrib","manacost","cooldown","lore","components","created","charges"
41,"Bottle","Passive: Store Rune Runes can be stored in the Bottle for later use by right-clicking them. Unused runes will automatically activate after 90 seconds.

Using a stored rune fully refills the Bottle.","/apps/dota2/images/dota_react/items/bottle.png?t=1593393829403","common",675,"Bottle is shareable. Stored runes cannot be shared.
Using a stored Bounty or Water rune fully refills the bottle if the bottle was full when the rune was stored; otherwise, it refills two charges.","[{'key': 'health_restore', 'header': 'HEALTH RESTORE:', 'value': '110'}, {'key': 'mana_restore', 'header': 'MANA RESTORE:', 'value': '60'}, {'key': 'health_restore_pct', 'header': 'HEALTH RESTORE PCT:', 'value': '0'}, {'key': 'mana_restore_pct', 'header': 'MANA RESTORE PCT:', 'value': '0'}, {'key': 'restore_time', 'header': 'RESTORE TIME:', 'value': '2.7'}, {'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '3'}, {'key': 'break_on_hero_damage', 'header': 'BREAK ON HERO DAMAGE:', 'value': '1'}, {'key': 'rune_expire_time', 'header': 'RUNE EXPIRE TIME:', 'value': '90.0'}]",0,0,"An old bottle that survived the ages, the contents placed inside become enchanted.","None",False,3
42,"Observer Ward","Use: Plant Plants an Observer Ward, an invisible watcher that gives ground vision in a 1600 radius to your team. Lasts 6 minutes.

Hold Control to give one Observer Ward to an allied hero.

Range: 500","/apps/dota2/images/dota_react/items/ward_observer.png?t=1593393829403","consumable",0,"","[{'key': 'lifetime', 'header': 'LIFETIME:', 'value': '360'}, {'key': 'vision_range_tooltip', 'header': 'VISION RANGE TOOLTIP:', 'value': '1600'}, {'key': 'health', 'header': 'HEALTH:', 'value': '200'}, {'key': 'duration_minutes_tooltip', 'header': 'DURATION MINUTES TOOLTIP:', 'value': '6'}]",0,1,"A form of half-sentient plant, often cultivated by apprentice wizards.","None",False,1
43,"Sentry Ward","Use: Plant Plants a Sentry Ward, an invisible watcher that grants True Sight, the ability to see invisible enemy units and wards, to any existing allied vision within a 1000 radius.
Lasts 7 minutes.

Does not grant ground vision.
Hold Control to give one Sentry Ward to an allied hero. Range: 500","/apps/dota2/images/dota_react/items/ward_sentry.png?t=1593393829403","consumable",50,"","[{'key': 'lifetime', 'header': 'LIFETIME:', 'value': '420'}, {'key': 'vision_range', 'header': 'VISION RANGE:', 'value': '0'}, {'key': 'true_sight_range', 'header': 'TRUE SIGHT RANGE:', 'value': '1000'}, {'key': 'health', 'header': 'HEALTH:', 'value': '200'}, {'key': 'duration_minutes_tooltip', 'header': 'DURATION MINUTES TOOLTIP:', 'value': '7'}]",0,1,"A form of plant originally grown in the garden of a fearful king.","None",False,1
44,"Tango","Use: Devour Consumes a target tree to gain 7 health regeneration for 16 seconds. Consuming an Ironwood Tree doubles the heal amount.

Comes with 3 charges.  Can be used on an allied hero to give them one Tango.

Tree Range: 165","/apps/dota2/images/dota_react/items/tango.png?t=1593393829403","consumable",90,"","[{'key': 'health_regen', 'header': 'HEALTH REGEN:', 'value': '7.0'}, {'key': 'buff_duration', 'header': 'BUFF DURATION:', 'value': '16.0'}, {'key': 'tooltip_charges', 'header': 'TOOLTIP CHARGES:', 'value': '3'}]",0,0,"Forage to survive on the battlefield.","None",False,3
45,"Animal Courier","Use: Deploy Courier Deploys a creature to carry items to and from your team's base.","/apps/dota2/images/dota_react/items/courier.png?t=1593393829403","consumable",50,"","[]",0,0,"Losing the courier is punishable by death.","None",False,False
46,"Town Portal Scroll","Use: Teleport After channeling for 3 seconds, teleports you to a target friendly building. 

Double-click to teleport to your team's base fountain.","/apps/dota2/images/dota_react/items/tpscroll.png?t=1593393829403","consumable",100,"If multiple heroes teleport to the same location in succession, the channeling time will be increased for each successive hero.
Teleport can be prevented or canceled by Root abilities.","[{'key': 'minimun_distance', 'header': 'MINIMUN DISTANCE:', 'value': '70'}, {'key': 'maximum_distance', 'header': 'MAXIMUM DISTANCE:', 'value': '800'}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '200'}, {'key': 'tooltip_channel_time', 'header': 'TOOLTIP CHANNEL TIME:', 'value': '3.0'}]",75,80,"What a hero truly needs.","None",False,1
48,"Boots of Travel","Movement speed bonuses from multiple pairs of boots do not stack.","/apps/dota2/images/dota_react/items/travel_boots.png?t=1593393829403","common",2500,"","[{'key': 'bonus_movement_speed', 'header': 'BONUS MOVEMENT SPEED:', 'value': '90'}, {'key': 'maximum_distance', 'header': 'MAXIMUM DISTANCE:', 'value': '800'}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '200'}, {'key': 'tp_cooldown', 'header': 'TP COOLDOWN:', 'value': '40'}]",0,0,"Winged boots that grant omnipresence.","['boots']",True,False
48,"Boots of Travel","Upgrade: Town Portal Scroll Upgrades your Town Portal Scroll, allowing it to target units, reduces cooldown and does not consume a charge on usage. ","/apps/dota2/images/dota_react/items/travel_boots.png?t=1593393829403","common",2500,"","[{'key': 'bonus_movement_speed', 'header': 'BONUS MOVEMENT SPEED:', 'value': '90'}, {'key': 'maximum_distance', 'header': 'MAXIMUM DISTANCE:', 'value': '800'}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '200'}, {'key': 'tp_cooldown', 'header': 'TP COOLDOWN:', 'value': '40'}]",0,0,"Winged boots that grant omnipresence.","['boots']",True,False
50,"Phase Boots","Active: Phase Gives 20% increased movement speed on melee heroes, and 10% on ranged heroes, and lets you move through units and turn more quickly for 3 seconds.","/apps/dota2/images/dota_react/items/phase_boots.png?t=1593393829403","common",1500,"","[{'key': 'bonus_movement_speed', 'header': 'BONUS MOVEMENT SPEED:', 'value': '50'}, {'key': 'bonus_damage_melee', 'header': 'BONUS DAMAGE MELEE:', 'value': '18'}, {'key': 'bonus_damage_range', 'header': 'BONUS DAMAGE RANGE:', 'value': '12'}, {'key': 'damage_block_melee', 'header': 'DAMAGE BLOCK MELEE:', 'value': '0'}, {'key': 'damage_block_ranged', 'header': 'DAMAGE BLOCK RANGED:', 'value': '0'}, {'key': 'block_chance', 'header': 'BLOCK CHANCE:', 'value': '0'}, {'key': 'phase_movement_speed', 'header': 'PHASE MOVEMENT SPEED:', 'value': '20'}, {'key': 'phase_movement_speed_range', 'header': 'PHASE MOVEMENT SPEED RANGE:', 'value': '10'}, {'key': 'phase_duration', 'header': 'PHASE DURATION:', 'value': '3.0'}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '0'}, {'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '4'}]",0,8,"Boots that allow the wearer to travel between the ether.","['boots', 'chainmail', 'blades_of_attack']",True,False
50,"Phase Boots","Movement speed bonuses from multiple pairs of boots do not stack.","/apps/dota2/images/dota_react/items/phase_boots.png?t=1593393829403","common",1500,"","[{'key': 'bonus_movement_speed', 'header': 'BONUS MOVEMENT SPEED:', 'value': '50'}, {'key': 'bonus_damage_melee', 'header': 'BONUS DAMAGE MELEE:', 'value': '18'}, {'key': 'bonus_damage_range', 'header': 'BONUS DAMAGE RANGE:', 'value': '12'}, {'key': 'damage_block_melee', 'header': 'DAMAGE BLOCK MELEE:', 'value': '0'}, {'key': 'damage_block_ranged', 'header': 'DAMAGE BLOCK RANGED:', 'value': '0'}, {'key': 'block_chance', 'header': 'BLOCK CHANCE:', 'value': '0'}, {'key': 'phase_movement_speed', 'header': 'PHASE MOVEMENT SPEED:', 'value': '20'}, {'key': 'phase_movement_speed_range', 'header': 'PHASE MOVEMENT SPEED RANGE:', 'value': '10'}, {'key': 'phase_duration', 'header': 'PHASE DURATION:', 'value': '3.0'}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '0'}, {'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '4'}]",0,8,"Boots that allow the wearer to travel between the ether.","['boots', 'chainmail', 'blades_of_attack']",True,False
63,"Power Treads","Movement speed bonuses from multiple pairs of boots do not stack.","/apps/dota2/images/dota_react/items/power_treads.png?t=1593393829403","common",1400,"Power Treads can be built using a Belt of Strength, Band of Elvenskin, or a Robe of the Magi.","[{'key': 'bonus_movement_speed_ranged', 'header': 'BONUS MOVEMENT SPEED RANGED:', 'value': '45'}, {'key': 'bonus_movement_speed_melee', 'header': 'BONUS MOVEMENT SPEED MELEE:', 'value': '55'}, {'key': 'bonus_stat', 'header': 'BONUS STAT:', 'value': '10'}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '25'}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': '0'}]",0,0,"A pair of tough-skinned boots that change to meet the demands of the wearer.","['boots', 'gloves', 'belt_of_strength']",True,False
63,"Power Treads","Active: Switch Attribute Switches between +10 Strength, +10 Agility, or +10 Intelligence.","/apps/dota2/images/dota_react/items/power_treads.png?t=1593393829403","common",1400,"Power Treads can be built using a Belt of Strength, Band of Elvenskin, or a Robe of the Magi.","[{'key': 'bonus_movement_speed_ranged', 'header': 'BONUS MOVEMENT SPEED RANGED:', 'value': '45'}, {'key': 'bonus_movement_speed_melee', 'header': 'BONUS MOVEMENT SPEED MELEE:', 'value': '55'}, {'key': 'bonus_stat', 'header': 'BONUS STAT:', 'value': '10'}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '25'}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': '0'}]",0,0,"A pair of tough-skinned boots that change to meet the demands of the wearer.","['boots', 'gloves', 'belt_of_strength']",True,False
65,"Hand of Midas","Active: Transmute Kills a non-hero target for 160 gold and 2.1x experience. When used on a neutral creep, guarantees to create a neutral item if available. 

 Cannot be used on Ancient creeps.

Range: 600","/apps/dota2/images/dota_react/items/hand_of_midas.png?t=1593393829403","common",2200,"The gold given is reliable gold (you do not get the normal creep bounty).
Experience gained by using Transmute is not shared.","[{'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '35'}, {'key': 'xp_multiplier', 'header': 'XP MULTIPLIER:', 'value': '2.1'}, {'key': 'bonus_gold', 'header': 'BONUS GOLD:', 'value': '160'}]",0,0,"Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets.","['gloves']",True,1
71,"Poor Man's Shield","Passive: Damage Block Gives a 100% chance to block 30 damage from incoming attacks on melee heroes, and 20 damage on ranged.

Has a 50% chance to block damage from creeps.","/apps/dota2/images/dota_react/items/poor_mans_shield.png?t=1593393829403","common",0,"Multiple sources of damage block do not stack.","[{'key': 'bonus_agility', 'header': 'BONUS AGILITY:', 'value': '8'}, {'key': 'damage_block_melee', 'header': 'DAMAGE BLOCK MELEE:', 'value': '30'}, {'key': 'damage_block_ranged', 'header': 'DAMAGE BLOCK RANGED:', 'value': '20'}, {'key': 'block_chance', 'header': 'BLOCK CHANCE:', 'value': '50'}, {'key': 'block_chance_hero', 'header': 'BLOCK CHANCE HERO:', 'value': '100'}]",0,0,"A busted old shield that seems to block more than it should.","",True,False
73,"Bracer","Doubles its bonuses after minute 25.","/apps/dota2/images/dota_react/items/bracer.png?t=1593393829403","common",505,"","[{'key': 'bonus_strength', 'header': 'BONUS STRENGTH:', 'value': '5 / 10'}, {'key': 'bonus_agility', 'header': 'BONUS AGILITY:', 'value': '2 / 4'}, {'key': 'bonus_intellect', 'header': 'BONUS INTELLECT:', 'value': '2 / 4'}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': '3 / 6'}, {'key': 'bonus_health_regen', 'header': 'BONUS HEALTH REGEN:', 'value': '0.75 / 1.5'}, {'key': 'clock_time', 'header': 'CLOCK TIME:', 'value': '25'}]",0,0,"The bracer is a common choice to toughen up defenses and increase longevity.","['circlet', 'gauntlets']",True,False
75,"Wraith Band","Doubles its bonuses after minute 25.","/apps/dota2/images/dota_react/items/wraith_band.png?t=1593393829403","common",505,"","[{'key': 'bonus_agility', 'header': 'BONUS AGILITY:', 'value': '5 / 10'}, {'key': 'bonus_strength', 'header': 'BONUS STRENGTH:', 'value': '2 / 4'}, {'key': 'bonus_intellect', 'header': 'BONUS INTELLECT:', 'value': '2 / 4'}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '5 / 10'}, {'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '2 / 4'}, {'key': 'clock_time', 'header': 'CLOCK TIME:', 'value': '25'}]",0,0,"A circlet with faint whispers echoing about it.","['circlet', 'slippers']",True,False
77,"Null Talisman","Doubles its bonuses after minute 25.","/apps/dota2/images/dota_react/items/null_talisman.png?t=1593393829403","common",505,"","[{'key': 'bonus_intellect', 'header': 'BONUS INTELLECT:', 'value': '5 / 10'}, {'key': 'bonus_strength', 'header': 'BONUS STRENGTH:', 'value': '2 / 4'}, {'key': 'bonus_agility', 'header': 'BONUS AGILITY:', 'value': '2 / 4'}, {'key': 'bonus_max_mana_percentage', 'header': 'BONUS MAX MANA PERCENTAGE:', 'value': '3 / 6'}, {'key': 'bonus_mana_regen', 'header': 'BONUS MANA REGEN:', 'value': '0.75 / 1.5'}, {'key': 'clock_time', 'header': 'CLOCK TIME:', 'value': '25'}]",0,0,"A small gemstone attached to several chains.","['circlet', 'mantle']",True,False
79,"Mekansm","Active: Restore Restores 275 health to allied units in a 1200 radius.","/apps/dota2/images/dota_react/items/mekansm.png?t=1593393829403","rare",1775,"Restore does not affect units that have been affected by Restore or Guardian Greaves Mend within Mekansm's cooldown.
Multiple instances of Mekansm Aura do not stack.","[{'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '4'}, {'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '1200'}, {'key': 'aura_health_regen', 'header': 'AURA HEALTH REGEN:', 'value': '2.5'}, {'key': 'heal_amount', 'header': 'HEAL AMOUNT:', 'value': '275'}, {'key': 'heal_radius', 'header': 'HEAL RADIUS:', 'value': '1200'}]",100,50,"A glowing jewel formed out of assorted parts that somehow fit together perfectly.","['headdress', 'chainmail']",True,False
79,"Mekansm","Passive: Mekansm Aura Grants 2.5 health regeneration to allied units in a 1200 radius.","/apps/dota2/images/dota_react/items/mekansm.png?t=1593393829403","rare",1775,"Restore does not affect units that have been affected by Restore or Guardian Greaves Mend within Mekansm's cooldown.
Multiple instances of Mekansm Aura do not stack.","[{'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '4'}, {'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '1200'}, {'key': 'aura_health_regen', 'header': 'AURA HEALTH REGEN:', 'value': '2.5'}, {'key': 'heal_amount', 'header': 'HEAL AMOUNT:', 'value': '275'}, {'key': 'heal_radius', 'header': 'HEAL RADIUS:', 'value': '1200'}]",100,50,"A glowing jewel formed out of assorted parts that somehow fit together perfectly.","['headdress', 'chainmail']",True,False
81,"Vladmir's Offering","Passive: Vladmir's Aura Grants 20% lifesteal, 18% bonus damage, 1.75 mana regeneration, and 4 armor to nearby allies. Lifesteal from creeps is reduced by 40%.

Radius: 1200","/apps/dota2/images/dota_react/items/vladmir.png?t=1593393829403","rare",2200,"","[{'key': 'armor_aura', 'header': 'ARMOR AURA:', 'value': '4.0'}, {'key': 'mana_regen_aura', 'header': 'MANA REGEN AURA:', 'value': '1.75'}, {'key': 'lifesteal_aura', 'header': 'LIFESTEAL AURA:', 'value': '20'}, {'key': 'creep_lifesteal_reduction_pct', 'header': 'CREEP LIFESTEAL REDUCTION PCT:', 'value': '40'}, {'key': 'damage_aura', 'header': 'DAMAGE AURA:', 'value': '18'}, {'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '1200'}]",0,0,"An eerie mask that is haunted with the malice of a fallen vampire.","['buckler', 'ring_of_basilius', 'lifesteal', 'blades_of_attack']",True,False
86,"Buckler","Passive: Buckler Aura Grants 2 armor to allied player units.

Radius: 1200","/apps/dota2/images/dota_react/items/buckler.png?t=1593393829403","rare",425,"","[{'key': 'armor', 'header': 'ARMOR:', 'value': '1'}, {'key': 'bonus_aoe_armor', 'header': 'BONUS AOE ARMOR:', 'value': '2'}, {'key': 'bonus_aoe_radius', 'header': 'BONUS AOE RADIUS:', 'value': '1200'}]",0,0,"A powerful shield that imbues the bearer with the strength of heroes past, it is capable of protecting entire armies in battle.","['ring_of_protection']",True,False
88,"Ring of Basilius","Passive: Basilius Aura Grants 1 mana regeneration to allies. 

Radius: 1200","/apps/dota2/images/dota_react/items/ring_of_basilius.png?t=1593393829403","rare",425,"","[{'key': 'mana_regen', 'header': 'MANA REGEN:', 'value': '0.5'}, {'key': 'aura_mana_regen', 'header': 'AURA MANA REGEN:', 'value': '1.0'}, {'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '1200'}]",0,0,"Ring given as a reward to the greatest mages.","['sobi_mask']",True,False
